timestamp,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,rpm_0,rpm_1,rpm_2,rpm_3,target_x,target_y,target_z
0.0,0.002438,2.012898,0.001186,0.999999,7.8e-05,0.001282,-3e-05,0.0,0.0,0.0,0.0,-0.0,2.0,0.0
0.01,0.002415,2.012413,0.001208,0.999999,7.7e-05,0.001282,-3e-05,1041.630864,1040.089567,1035.269807,1038.632712,-0.0,2.0,0.0
0.02,0.002388,2.011125,0.001237,0.999999,7.3e-05,0.001282,-3.3e-05,1644.935254,1636.669029,1634.678559,1637.275591,-0.0,2.0,0.0
0.03,0.002361,2.009258,0.001283,0.999999,6.2e-05,0.001282,-4.5e-05,1991.375312,1982.890298,1983.908026,1984.157249,-0.0,2.0,0.0
0.04,0.002347,2.006992,0.001361,0.999999,4.4e-05,0.001283,-6.7e-05,2192.869758,2182.433846,2177.407528,2190.452418,-0.0,2.0,0.0
0.05,0.00235,2.004448,0.001474,0.999999,1.9e-05,0.001283,-0.000114,2309.107411,2295.664031,2291.520363,2307.354407,-0.0,2.0,0.0
0.06,0.002366,2.0017,0.001616,0.999999,-1.3e-05,0.001283,-0.000193,2378.468681,2362.695235,2357.444076,2373.893178,-0.0,2.0,0.0
0.07,0.002382,1.998793,0.001771,0.999999,-5.7e-05,0.001283,-0.000309,2421.068624,2397.011988,2394.457456,2409.754923,-0.0,2.0,0.0
0.08,0.002397,1.995754,0.00194,0.999999,-0.000113,0.001283,-0.000469,2440.518409,2416.532089,2420.763788,2436.682634,-0.0,2.0,0.0
0.09,0.002417,1.992599,0.00213,0.999999,-0.000172,0.001284,-0.000676,2456.384951,2431.529678,2432.199443,2450.188838,-0.0,2.0,0.0
0.1,0.002452,1.989337,0.002353,0.999999,-0.000236,0.001285,-0.000931,2461.091007,2437.518445,2438.992255,2455.210032,-0.0,2.0,0.0
0.11,0.002499,1.985972,0.002623,0.999998,-0.000306,0.001286,-0.001233,2463.857772,2439.753094,2441.616252,2457.14633,-0.0,2.0,0.0
0.12,0.002563,1.982506,0.002949,0.999998,-0.000383,0.001287,-0.001582,2472.934006,2444.24529,2443.21592,2460.935291,-0.0,2.0,0.0
0.13,0.002624,1.978942,0.003318,0.999997,-0.000474,0.001289,-0.001984,2474.305133,2444.958524,2447.845364,2460.599313,-0.0,2.0,0.0
0.14,0.002667,1.975281,0.003727,0.999996,-0.000576,0.001291,-0.002433,2470.302217,2447.274707,2450.365866,2464.610668,-0.0,2.0,0.0
0.15,0.00271,1.971524,0.004164,0.999995,-0.000683,0.001293,-0.002929,2471.673483,2444.468279,2447.120351,2465.35677,-0.0,2.0,0.0
0.16,0.002743,1.967671,0.004632,0.999993,-0.000795,0.001296,-0.003478,2474.889489,2448.162262,2444.266395,2468.752651,-0.0,2.0,0.0
0.17,0.002782,1.963721,0.005134,0.99999,-0.000918,0.001298,-0.004084,2474.235397,2447.604223,2447.965323,2464.969017,-0.0,2.0,0.0
0.18,0.002835,1.959674,0.005681,0.999987,-0.001053,0.001301,-0.004742,2472.345135,2446.848779,2442.966188,2463.673209,-0.0,2.0,0.0
0.19,0.002904,1.955529,0.006276,0.999984,-0.001201,0.001304,-0.005452,2470.126241,2449.385524,2443.591518,2463.710258,-0.0,2.0,0.0
0.2,0.002992,1.951286,0.006925,0.999979,-0.001365,0.001307,-0.006209,2468.812992,2450.721872,2444.387604,2459.289972,-0.0,2.0,0.0
0.21,0.003113,1.946943,0.007658,0.999973,-0.00155,0.00131,-0.007006,2472.6277,2452.145132,2440.533545,2456.79103,-0.0,2.0,0.0
0.22,0.003281,1.942502,0.008496,0.999967,-0.001764,0.001314,-0.007846,2471.238357,2448.120505,2440.488157,2457.61565,-0.0,2.0,0.0
0.23,0.0035,1.937963,0.009443,0.999959,-0.002002,0.001318,-0.008732,2470.2555,2448.653364,2440.411808,2461.380529,-0.0,2.0,0.0
0.24,0.003771,1.933327,0.010509,0.99995,-0.002261,0.001322,-0.009667,2468.374308,2453.411879,2441.576294,2463.133891,-0.0,2.0,0.0
0.25,0.004103,1.928595,0.011702,0.999939,-0.002536,0.001325,-0.010644,2465.861512,2449.377389,2446.892118,2464.127694,-0.0,2.0,0.0
0.26,0.004494,1.923767,0.013017,0.999927,-0.00282,0.001329,-0.011659,2464.484458,2453.570708,2445.275503,2462.600858,-0.0,2.0,0.0
0.27,0.004941,1.918845,0.014442,0.999914,-0.003116,0.001333,-0.012708,2466.631451,2454.306153,2443.04934,2460.739569,-0.0,2.0,0.0
0.28,0.005437,1.913827,0.015966,0.999898,-0.003432,0.001336,-0.013793,2468.397339,2451.825673,2441.051857,2459.593154,-0.0,2.0,0.0
0.29,0.005966,1.908712,0.01757,0.999881,-0.003771,0.00134,-0.014915,2467.065979,2452.022006,2444.687035,2454.406708,-0.0,2.0,0.0
0.3,0.00652,1.903501,0.01925,0.999861,-0.004133,0.001344,-0.016069,2467.987524,2449.843665,2442.459249,2455.453862,-0.0,2.0,0.0
0.31,0.007097,1.898192,0.021009,0.99984,-0.00452,0.001348,-0.017256,2470.161667,2453.278009,2444.389179,2451.270235,-0.0,2.0,0.0
0.32,0.007697,1.892785,0.02285,0.999816,-0.004937,0.001354,-0.018474,2472.646799,2452.696486,2444.183964,2455.586072,-0.0,2.0,0.0
0.33,0.008325,1.887283,0.024788,0.99979,-0.005386,0.001359,-0.019727,2473.462955,2453.513803,2446.535265,2453.948179,-0.0,2.0,0.0
