timestamp,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,rpm_0,rpm_1,rpm_2,rpm_3
0.0,0.002518,2.094883,-0.003592,1.0,0.000162,0.000889,-0.000337,4404.271691,4404.271691,4404.271691,4404.271691
0.02,0.00252,2.096762,-0.003597,0.999984,0.004161,0.000977,0.003655,2997.561772,2997.561772,6882.265528,2997.561772
0.04,0.002557,2.101781,-0.003647,0.999595,0.020354,0.001334,0.019829,2170.182583,2170.182583,4895.153412,2170.182583
0.06,0.002697,2.108418,-0.003813,0.99825,0.042052,0.001895,0.041535,4710.556362,1683.546133,3286.281795,1683.546133
0.08,0.003094,2.117047,-0.004252,0.996956,0.055295,0.002789,0.054895,8153.791081,1397.323034,2339.997934,1397.323034
0.1,0.003915,2.128553,-0.005126,0.997569,0.049247,0.004188,0.049133,5483.003499,1228.976289,1783.425778,1228.976289
0.12,0.004976,2.141403,-0.006241,0.998853,0.033495,0.005876,0.033709,3632.035331,1129.960429,3273.539998,1129.960429
0.14,0.006173,2.155407,-0.007477,0.999561,0.019983,0.00783,0.020417,2543.358468,1071.72265,6839.168445,1071.72265
0.16,0.007487,2.171375,-0.008814,0.999573,0.01915,0.010178,0.019572,2251.887561,1037.469158,5047.227936,1037.469158
0.18,0.008871,2.188377,-0.010207,0.999251,0.025677,0.012782,0.025984,2753.531804,1017.322412,3375.726886,1017.322412
0.2,0.010309,2.205647,-0.011644,0.998707,0.034113,0.015528,0.034332,2026.652411,1005.472778,2392.606511,1005.472778
0.22,0.011789,2.222676,-0.013116,0.997959,0.04316,0.018339,0.043356,1599.12654,998.503224,1814.368363,998.503224
0.24,0.013312,2.239231,-0.014626,0.997019,0.052329,0.02118,0.052585,1709.512512,994.403969,1474.268244,994.403969
0.26,0.014909,2.255419,-0.016214,0.996078,0.059974,0.024068,0.060441,3889.973025,991.992925,1274.232859,991.992925
0.28,0.016633,2.27158,-0.017929,0.99555,0.063354,0.027053,0.0643,2695.068694,990.574831,1156.578813,990.574831
0.3,0.01845,2.287409,-0.019738,0.9953,0.064288,0.030093,0.06587,1992.266387,989.740756,1087.378682,989.740756
0.32,0.020333,2.302696,-0.021612,0.995184,0.064072,0.03316,0.066366,1578.901845,989.250181,1046.677506,989.250181
0.34,0.022269,2.317346,-0.023529,0.99513,0.063279,0.03624,0.066322,1335.774804,988.961641,1022.738452,988.961641
0.36,0.024248,2.331315,-0.025474,0.995104,0.062183,0.039327,0.065991,1192.775702,988.791932,1008.658309,988.791932
0.38,0.026261,2.34458,-0.027444,0.995088,0.060921,0.042418,0.065499,1108.668468,988.692115,1000.376846,988.692115
0.4,0.028306,2.35713,-0.029438,0.995071,0.059567,0.045511,0.064914,1059.199438,988.633406,995.505969,988.633406
0.42,0.030382,2.368956,-0.031455,0.99505,0.058162,0.048605,0.064273,1030.103429,988.598875,992.641085,988.598875
0.44,0.032489,2.380055,-0.033494,0.99502,0.056729,0.0517,0.063596,1012.99014,988.578565,990.956056,988.578565
0.46,0.034625,2.390425,-0.035553,0.99498,0.055281,0.054796,0.062895,1002.924682,988.56662,989.96498,988.56662
0.48,0.036791,2.400064,-0.037634,0.99493,0.053826,0.057891,0.062177,997.00452,988.559594,989.382062,988.559594
0.5,0.038987,2.408973,-0.039734,0.994868,0.052369,0.060987,0.061446,993.522482,988.555462,989.039209,988.555462
0.52,0.041212,2.41715,-0.041854,0.994795,0.050912,0.064082,0.060705,991.474464,988.553031,988.837555,988.553031
0.54,0.043466,2.424596,-0.043994,0.994709,0.049456,0.067178,0.059955,990.26989,988.551601,988.718949,988.551601
0.56,0.045749,2.431311,-0.046152,0.994612,0.048004,0.070273,0.059196,989.5614,988.550761,988.649189,988.550761
0.58,0.048061,2.437294,-0.048328,0.994503,0.046555,0.073368,0.058429,989.14469,988.550266,988.608158,988.550266
0.6,0.050401,2.442546,-0.050522,0.994381,0.045109,0.076463,0.057655,988.899595,988.549975,988.584025,988.549975
0.62,0.05277,2.447067,-0.052734,0.994248,0.043667,0.079557,0.056873,988.755439,988.549804,988.569831,988.549804
0.64,0.055168,2.450856,-0.054962,0.994103,0.04223,0.082651,0.056084,988.670651,988.549703,988.561483,988.549703
0.66,0.057593,2.453915,-0.057207,0.993945,0.040796,0.085745,0.055288,988.620781,988.549644,988.556572,988.549644
0.68,0.060046,2.456243,-0.059467,0.993775,0.039367,0.088838,0.054485,988.59145,988.549609,988.553684,988.549609
0.7,0.062528,2.457851,-0.061744,0.9936,0.037865,0.09193,0.05361,1289.936526,988.549589,988.551986,988.549589
0.72,0.065047,2.458816,-0.06404,0.993448,0.035919,0.095029,0.052356,1998.922785,988.549577,1313.381222,988.549577
0.74,0.067627,2.459363,-0.066369,0.993355,0.032958,0.098157,0.050247,2693.689716,988.54957,2113.592328,988.54957
0.76,0.070302,2.459842,-0.068744,0.993315,0.028804,0.101361,0.047137,3068.723859,988.549566,2665.936991,988.549566
0.78,0.073083,2.460439,-0.071169,0.993277,0.023824,0.104672,0.04332,2608.450488,988.549563,2538.718404,988.549563
0.8,0.075947,2.460966,-0.073626,0.993184,0.018788,0.108074,0.039415,1941.320488,988.549562,2170.431002,988.549562
0.82,0.078865,2.461202,-0.0761,0.993001,0.014439,0.111549,0.036019,1548.93719,988.549561,2383.56518,988.549561
0.84,0.081834,2.461177,-0.078586,0.992688,0.012102,0.115128,0.034197,1467.249778,988.54956,3255.068204,988.54956
0.86,0.084871,2.461152,-0.081084,0.992192,0.013399,0.118884,0.03525,2083.58095,988.54956,3531.980314,988.54956
0.88,0.087991,2.461305,-0.083601,0.991551,0.016993,0.122813,0.038147,3208.897127,988.54956,2484.509492,988.54956
0.9,0.091203,2.461687,-0.086143,0.990977,0.018277,0.126833,0.039284,3896.314303,988.54956,1868.422587,988.54956
0.92,0.094518,2.46238,-0.088715,0.990627,0.014263,0.130902,0.036321,3926.023714,988.54956,1506.061111,988.54956
0.94,0.097916,2.463229,-0.091304,0.990393,0.005325,0.134991,0.029511,2716.27249,988.54956,1729.62264,988.54956
0.96,0.101361,2.463919,-0.093891,0.990032,-0.005164,0.139108,0.021405,2004.737743,988.54956,2500.164243,988.54956
0.98,0.104835,2.464366,-0.096462,0.989473,-0.014799,0.14329,0.013821,1586.237074,988.54956,2247.866257,988.54956
1.0,0.10832,2.464417,-0.09901,0.988759,-0.023335,0.147525,0.00695,1340.089137,988.54956,1796.204898,988.54956
1.02,0.111806,2.464054,-0.101527,0.987943,-0.030242,0.151829,0.001185,1195.313248,988.54956,3253.664162,988.54956
1.04,0.115282,2.463695,-0.103982,0.987177,-0.032108,0.156366,-0.000949,1110.160967,988.54956,4407.041645,988.54956
1.06,0.118742,2.463563,-0.106357,0.986544,-0.027119,0.161222,0.001911,1060.077275,988.54956,2999.190965,988.54956
